country,hq_article_counts,all_article_counts,population,hq_articles_ratio,all_articles_per_pop
Afghanistan,10,326,36500000.0,0.03067484662576687,8.931506849315068e-06
Albania,4,460,2900000.0,0.008695652173913044,0.0001586206896551724
Algeria,2,119,42700000.0,0.01680672268907563,2.786885245901639e-06
Argentina,15,496,44500000.0,0.03024193548387097,1.1146067415730336e-05
Armenia,5,198,3000000.0,0.025252525252525252,6.6e-05
Australia,42,1566,24100000.0,0.02681992337164751,6.49792531120332e-05
Austria,3,340,8800000.0,0.008823529411764706,3.8636363636363636e-05
Azerbaijan,2,182,9900000.0,0.01098901098901099,1.8383838383838383e-05
Bahrain,1,42,1500000.0,0.023809523809523808,2.8e-05
Bangladesh,3,323,166400000.0,0.009287925696594427,1.941105769230769e-06
Belarus,2,72,9500000.0,0.027777777777777776,7.578947368421053e-06
Benin,7,94,11500000.0,0.07446808510638298,8.17391304347826e-06
Bhutan,3,33,800000.0,0.09090909090909091,4.125e-05
Bolivia,1,187,11300000.0,0.0053475935828877,1.654867256637168e-05
Bosnia-Herzegovina,7,177,3500000.0,0.03954802259887006,5.057142857142857e-05
Botswana,2,68,2200000.0,0.029411764705882353,3.090909090909091e-05
Brazil,3,551,209400000.0,0.0054446460980036296,2.6313276026743073e-06
Bulgaria,3,226,7000000.0,0.01327433628318584,3.228571428571428e-05
Burkina Faso,3,97,20300000.0,0.030927835051546393,4.778325123152709e-06
Burundi,1,76,11800000.0,0.013157894736842105,6.440677966101695e-06
Cambodia,3,217,16000000.0,0.013824884792626729,1.35625e-05
Canada,25,850,37200000.0,0.029411764705882353,2.28494623655914e-05
Central African Republic,8,68,4700000.0,0.11764705882352941,1.4468085106382978e-05
Chad,2,100,15400000.0,0.02,6.493506493506494e-06
Chile,3,352,18600000.0,0.008522727272727272,1.89247311827957e-05
China,33,1135,1393800000.0,0.02907488986784141,8.143205624910317e-07
Colombia,3,288,49800000.0,0.010416666666666666,5.783132530120482e-06
Congo,2,149,5400000.0,0.013422818791946308,2.7592592592592594e-05
Croatia,2,168,4099999.9999999995,0.011904761904761904,4.097560975609756e-05
